"Question","YES_Price","Liquidity","Vol_24h","Days_Left","URL"
"Will Harvey Weinstein be sentenced to no prison time?",0.3445,2378.13686,713.134822,-83,"https://polymarket.com/event/will-harvey-weinstein-be-sentenced-to-no-prison-time"
"Will Harvey Weinstein be sentenced to between 20 and 30 years in prison?",0.2225,1223.71792,666.109224,-83,"https://polymarket.com/event/will-harvey-weinstein-be-sentenced-to-between-20-and-30-years-in-prison"
"Will Sweden qualify for the 2026 FIFA World Cup?",0.325,6579.8372,1647.6887579999996,19,"https://polymarket.com/event/will-sweden-qualify-for-the-2026-fifa-world-cup"
"Will Poland qualify for the 2026 FIFA World Cup?",0.375,5554.6851,968.584219,19,"https://polymarket.com/event/will-poland-qualify-for-the-2026-fifa-world-cup"
"Will Ukraine qualify for the 2026 FIFA World Cup?",0.26,2083.4062,1410.8388559999999,19,"https://polymarket.com/event/will-ukraine-qualify-for-the-2026-fifa-world-cup"
"Will the Colorado Avalanche win the 2026 NHL Stanley Cup?",0.204,231997.82667,22416.10060000001,98,"https://polymarket.com/event/will-the-colorado-avalanche-win-the-2026-nhl-stanley-cup"
"Will the Oklahoma City Thunder win the 2026 NBA Finals?",0.375,291448.0965,15609.693408999994,99,"https://polymarket.com/event/will-the-oklahoma-city-thunder-win-the-2026-nba-finals"
"Will Gavin Newsom win the 2028 Democratic presidential nomination?",0.2415,716355.02297,109908.66129100004,959,"https://polymarket.com/event/will-gavin-newsom-win-the-2028-democratic-presidential-nomination-568"
"Will Cooper Flagg win the 2025–26 NBA Rookie of the Year award?",0.305,4906.4589,401.1861410000001,55,"https://polymarket.com/event/will-cooper-flagg-win-the-202526-nba-rookie-of-the-year-award"
"Will J.D. Vance win the 2028 Republican presidential nomination?",0.3675,307172.43644,48074.368180000005,959,"https://polymarket.com/event/will-jd-vance-win-the-2028-republican-presidential-nomination"
"Will Marco Rubio win the 2028 Republican presidential nomination?",0.2705,256854.24861,34794.44217800001,959,"https://polymarket.com/event/will-marco-rubio-win-the-2028-republican-presidential-nomination"
"2026 Balance of Power: R Senate, D House",0.355,98379.0785,11898.361848,224,"https://polymarket.com/event/2026-balance-of-power-r-senate-d-house-444"
"Will the Cleveland Cavaliers win the NBA Eastern Conference Finals?",0.225,79902.6077,390.91166400000003,81,"https://polymarket.com/event/will-the-cleveland-cavaliers-win-the-nba-eastern-conference-finals"
"Will the Boston Celtics win the NBA Eastern Conference Finals?",0.3435,61549.79948,1588.448391,81,"https://polymarket.com/event/will-the-boston-celtics-win-the-nba-eastern-conference-finals"
"Will the San Antonio Spurs win the NBA Western Conference Finals?",0.2135,43421.91827,1646.783598,84,"https://polymarket.com/event/will-the-san-antonio-spurs-win-the-nba-western-conference-finals"
"Will Arsenal win the 2025–26 Champions League?",0.265,314995.2526,53938.05207599992,68,"https://polymarket.com/event/will-arsenal-win-the-202526-champions-league"
"Will Bayern Munich win the 2025–26 Champions League?",0.225,523515.5795,82785.51274500004,68,"https://polymarket.com/event/will-bayern-munich-win-the-202526-champions-league"
"Will Real Madrid win the 2025–26 La Liga?",0.21,158028.1921,13176.600959999998,67,"https://polymarket.com/event/will-real-madrid-win-the-202526-la-liga"
"Will the next Prime Minister of Hungary be Viktor Orbán?",0.355,99979.6725,29546.641987999996,19,"https://polymarket.com/event/will-the-next-prime-minister-of-hungary-be-viktor-orbn"
"Russia x Ukraine ceasefire by end of 2026?",0.345,377785.6046,96134.02203400001,282,"https://polymarket.com/event/russia-x-ukraine-ceasefire-before-2027"
"Zelenskyy out as Ukraine president by end of 2026?",0.225,51630.0413,2310.3741219999997,282,"https://polymarket.com/event/zelenskyy-out-as-ukraine-president-before-2027"
"Callum Turner announced as next James Bond?",0.23,13902.1465,2082.0586489999996,98,"https://polymarket.com/event/callum-turner-announced-as-next-james-bond"
